time	V(n002)	V(n011)
0.000000000000000e+00	3.699985e+00	3.699996e-14
5.000000058430487e-08	3.699985e+00	1.168099e-08
1.000000011686097e-07	3.699988e+00	4.052932e-07
2.000000023372195e-07	3.700011e+00	6.395865e-06
3.153203524074142e-07	3.700061e+00	2.565994e-05
4.748923523633085e-07	3.700158e+00	6.956448e-05
7.940363522750971e-07	3.700436e+00	1.978871e-04
1.105295212215110e-06	3.700797e+00	3.695155e-04
1.727812932095134e-06	3.701696e+00	8.036503e-04
2.409049169644538e-06	3.702861e+00	1.370887e-03
3.574739538257154e-06	3.705060e+00	2.447771e-03
5.033398365557843e-06	3.707962e+00	3.871335e-03
7.111501503035819e-06	3.712147e+00	5.926988e-03
9.427944286296178e-06	3.716791e+00	8.208101e-03
1.217915821470402e-05	3.722251e+00	1.089097e-02
1.630785154114470e-05	3.730332e+00	1.486081e-02
2.456523819402606e-05	3.746091e+00	2.260401e-02
3.433086319402606e-05	3.764047e+00	3.142736e-02
4.409648819402606e-05	3.781281e+00	3.989774e-02
5.386211319402606e-05	3.797812e+00	4.802259e-02
6.362773819402605e-05	3.813653e+00	5.581102e-02
7.339336319402606e-05	3.828823e+00	6.326953e-02
8.315898819402606e-05	3.843335e+00	7.040637e-02
9.292461319402607e-05	3.857204e+00	7.722726e-02
1.018839376750286e-04	3.869372e+00	8.321351e-02
1.116495626750286e-04	3.882043e+00	8.944752e-02
1.214151876750286e-04	3.894107e+00	9.538500e-02
1.311808126750286e-04	3.905578e+00	1.010307e-01
1.409464376750286e-04	3.916466e+00	1.063917e-01
1.507120626750286e-04	3.926785e+00	1.114728e-01
1.604776876750286e-04	3.936546e+00	1.162811e-01
1.702433126750286e-04	3.945763e+00	1.208215e-01
1.800089376750286e-04	3.954446e+00	1.251015e-01
1.897745626750286e-04	3.962611e+00	1.291262e-01
1.995401876750286e-04	3.970270e+00	1.329034e-01
2.093058126750286e-04	3.977437e+00	1.364385e-01
2.190714376750286e-04	3.984125e+00	1.397394e-01
2.288370626750286e-04	3.990349e+00	1.428114e-01
2.386026876750286e-04	3.996120e+00	1.456625e-01
2.483683126750286e-04	4.001454e+00	1.482978e-01
2.581339376750286e-04	4.006361e+00	1.507249e-01
2.678995626750286e-04	4.010856e+00	1.529485e-01
2.776651876750286e-04	4.014949e+00	1.549757e-01
2.874308126750286e-04	4.018653e+00	1.568106e-01
2.971964376750286e-04	4.021976e+00	1.584594e-01
3.069620626750286e-04	4.024929e+00	1.599257e-01
3.167276876750286e-04	4.027519e+00	1.612149e-01
3.264933126750286e-04	4.029757e+00	1.623297e-01
3.362589376750286e-04	4.031647e+00	1.632748e-01
3.460245626750286e-04	4.033197e+00	1.640520e-01
3.557901876750286e-04	4.034413e+00	1.646655e-01
3.655558126750286e-04	4.035300e+00	1.651164e-01
3.753214376750286e-04	4.035861e+00	1.654081e-01
3.850870626750286e-04	4.036101e+00	1.655414e-01
